"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
93355,"Sacheon_VOR-DME_KR","SAC","Sacheon","VOR-DME",115100,35.097999572753906,128.07699584960938,25,"KR",115100,"098X",,,,-7.011,-7.085,"TERMINAL","HIGH","RKPS"
93358,"Searle_VOR-DME_US","SAE","Searle","VOR-DME",110200,41.11909866333008,-101.7760009765625,3256,"US",110200,"039X",,,,11.001,7.525,"LO","LOW",
93359,"Santa_Fe_VORTAC_US","SAF","Santa Fe","VORTAC",110600,35.54050064086914,-106.06500244140625,6263,"US",110600,"043X",,,,13.001,9.394,"BOTH","MEDIUM",
93360,"Sajohidveg_VOR-DME_HU","SAG","Sajohidveg","VOR-DME",114400,48.007999420166016,20.996299743652344,374,"HU",114400,"091X",,,,3.007,3.492,"RNAV","HIGH",
93365,"San_Jose_VOR-DME_PH","SAJ","San Jose","VOR-DME",117100,12.360300064086914,121.04299926757812,10,"PH",117100,"118X",,,,0.007,-0.526,"BOTH","HIGH","RPUH"
93368,"Salta_VOR-DME_AR","SAL","Salta","VOR-DME",116700,-24.8523006439209,-65.48390197753906,4062,"AR",116700,"114X",,,,-3.007,-5.122,"BOTH","HIGH","SASA"
93373,"Samos_VOR-DME_GR","SAM","Samos","VOR-DME",111600,37.68659973144531,26.907100677490234,30,"GR",111600,"053X",,,,2.007,3.384,"LO","HIGH","LGSM"
93374,"Sampla_VOR-DME_IN","SAM","Sampla","VOR-DME",117000,28.822500228881836,76.82379913330078,677,"IN",117000,"117X",,,,1.011,0.439,"BOTH","HIGH",
93375,"Southampton_VOR-DME_GB","SAM","Southampton","VOR-DME",113350,50.955299377441406,-1.3450000286102295,66,"GB",113350,"080Y",,,,-4.001,-2.391,"BOTH","HIGH","EGHI"
93376,"Samsville_VOR-DME_US","SAM","Samsville","VOR-DME",116600,38.485198974609375,-88.08580017089844,540,"US",116600,"113X",,,,3.001,-2.048,"LO","MEDIUM",
93377,"San_Fernando_VOR_PH","SAN","San Fernando","VOR",114500,16.7283992767334,120.35800170898438,,"PH",,,,,,0.007,-1.441,"BOTH","HIGH","RPUS"
